xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
0.02,-0.06,0.99,0.12,-0.67,-0.24,1
0.02,-0.08,0.98,2.93,-2.56,-7.14,1
0.02,-0.09,0.98,7.32,-0.79,1.59,1
-0.01,-0.09,0.99,-3.97,-0.31,0.49,1
-0.01,-0.08,0.99,-3.54,-2.08,-1.71,1
-0.02,-0.09,0.99,-1.22,0.55,-1.95,1
-0.04,-0.08,0.99,-0.18,-0.24,0.12,1
-0.03,-0.09,0.99,0.49,-0.06,0.24,1
-0.04,-0.09,0.99,0.12,-0.43,0.12,1
-0.04,-0.09,0.99,0.24,-0.12,-0.12,1
-0.04,-0.09,0.99,0.24,0.37,0.12,1
-0.04,-0.09,0.99,0.12,0.18,-0.37,1
-0.04,-0.09,0.99,0.06,0.31,0.24,1
-0.04,-0.09,0.99,-0.31,0.06,0.18,1
-0.04,-0.08,0.99,-0.79,-0.24,0.06,1
-0.05,-0.09,0.99,0.12,-0.06,-0.18,1
-0.04,-0.09,0.99,0.49,-0.06,0.31,1
-0.05,-0.08,0.99,-1.28,-0.67,-0.18,1
-0.05,-0.09,0.99,0.85,-0.24,0.18,1
-0.06,-0.11,0.99,2.26,-0.18,-2.38,1
-0.05,-0.09,0.99,-1.04,-0.06,-1.46,1
-0.04,-0.08,0.99,-5.37,-0.98,3.6,1
-0.07,-0.09,0.99,-0.31,0.73,2.62,1
-0.06,-0.08,0.98,-0.98,0.31,0.49,1
-0.07,-0.1,0.99,1.28,0.49,2.62,1
-0.05,-0.09,0.99,2.5,0.24,2.5,1
-0.06,-0.08,0.99,1.46,0.79,-1.65,1
-0.07,-0.1,1,0.73,0.98,1.46,1
-0.08,-0.09,0.99,0.49,-0.12,1.22,1
-0.08,-0.1,0.99,0.92,0.49,0.85,1
-0.07,-0.1,1,3.72,1.16,-1.65,1
-0.07,-0.1,0.98,-15.01,0.12,1.4,1
-0.07,-0.09,0.99,-3.42,0.79,-1.28,1
-0.07,-0.09,0.99,0.12,0.06,0.24,1
-0.08,-0.09,0.99,0.18,0.24,0.31,1
-0.07,-0.09,0.99,0.55,0.06,0.18,1
-0.08,-0.09,0.99,1.04,0.31,0.67,1
-0.08,-0.09,0.99,0.43,0.24,-0.12,1
-0.07,-0.1,0.99,0.37,0,0.37,1
-0.08,-0.09,0.99,0.73,0.37,0.31,1
-0.08,-0.09,0.99,0.31,0,0.06,1
-0.08,-0.09,0.99,0.24,0,0.73,1
-0.08,-0.09,0.99,-0.18,0,0.06,1
